AKAZE_AKAZE_MAT_FLANN,BRISK_BRIEF_MAT_FLANN,BRISK_BRISK_MAT_BF,BRISK_BRISK_MAT_FLANN,FAST_BRISK_MAT_BF,FAST_FREAK_MAT_BF,ORB_ORB_MAT_BF,ORB_ORB_MAT_FLANN,ORB_FREAK_MAT_FLANN,SHITOMASI_BRIEF_MAT_BF,SHITOMASI_BRISK_MAT_BF,SIFT_SIFT_MAT_FLANN
12.5075,15.7131,13.4083,12.9834,inf,13.6067,43.0902,15.1491,10.6059,17.0409,0.0740064,12.3553
14.2091,14.2465,29.2637,30.1042,46.0324,inf,inf,inf,-63.4258,14.1355,13.2121,13.8243
13.286,13.3378,14.3951,14.8853,14.4553,19.0599,16.5841,26.9019,12.6069,15.088,30.2146,13.9338
15.6188,18.7074,20.7936,19.1049,15.4004,inf,25.7839,25.0426,10.9448,13.0537,12.5425,18.6249
16.1367,42.9007,35.9673,52.5293,inf,inf,inf,-nan,inf,14.8128,38.8424,16.1926
14.8409,16.7969,17.7698,-nan,inf,56.1833,inf,-nan,35.9299,19.8444,38.8424,12.7633
16.3421,19.0189,24.6871,19.442,inf,inf,inf,inf,inf,20.9176,14.2557,14.2844
14.1306,19.2812,16.597,19.3157,25.8062,14.2593,11.9685,inf,-nan,15.3567,20.5669,14.4955
14.9915,19.2093,13.604,15.0201,55.3166,17.5088,inf,inf,inf,12.0207,13.3826,14.4442
12.2822,15.7051,14.7574,14.9356,33.979,21.7166,inf,113.405,inf,19.2598,19.9188,11.3118
12.5796,12.2122,14.2748,13.6409,22.8191,31.155,9.20223,9.74456,9.23236,11.9619,12.1923,11.3277
11.4869,17.7779,12.9619,12.3971,39.6458,inf,inf,inf,inf,11.6524,10.8396,11.3485
11.3786,12.4603,12.9838,12.9856,12.1383,12.2294,10.4189,19.5588,6.9029,12.4891,12.8729,8.90164
10.5531,12.533,12.3505,12.1021,11.9654,12.6011,18.6317,inf,inf,11.0575,10.8083,9.7224
10.2113,13.9822,12.5426,13.3026,13.6063,12.4616,11.739,inf,12.5206,9.81378,7.73459,9.35697
9.97114,-nan,10.4432,11.7131,12.5139,11.8008,13.8336,25.8218,7.46502,11.4124,10.5364,9.13028
9.04841,9.3409,9.06002,9.7414,12.7038,11.5586,14.8009,inf,14.0059,11.94,11.2317,8.41438
9.77733,10.7313,10.9651,12.0188,12.8633,0.227331,36.112,27.4756,-0.100008,7.50873,8.00744,8.31041
